 , 0.120427476258687
о, 0.0881711231365059
а, 0.0770332643641573
н, 0.0712537800413815
і, 0.059509125152528
в, 0.0524994694678763
т, 0.0513024563637328
и, 0.0474163085574832
с, 0.0403436521831397
р, 0.0358076025253329
е, 0.0348095389675845
д, 0.0336158416892143
к, 0.0284663642633561
у, 0.0274683007056077
з, 0.0239004721735901
п, 0.0236053636797708
л, 0.0231942012838877
м, 0.0227598281075919
я, 0.0193412117353706
ь, 0.0164663907899623
г, 0.0142116292641519
ч, 0.0115556528197782
б, 0.0115490211682317
ї, 0.0105045360496578
ц, 0.00976179107644968
х, 0.00974852777335668
ю, 0.00737439651970927
й, 0.00653549259907687
ж, 0.00584580083824076
ф, 0.00476152581038782
є, 0.00428073107326649
ш, 0.00393256936707518
щ, 0.00250676428457743
ґ, 3.97899092790068e-05
